deno-custom-nodes	950184	172	2026-09-10	https://github.com/Deno2026/comfyui-deno-custom-nodes	DENO RTX node pack for ComfyUI: MiniMax H3 multi-reference image and Reference to Video helpers, direct Alibaba MiniMax 
audio-separation-nodes-comfyui	361439	618	2026-04-11	https://github.com/christian-byrne/audio-separation-nodes-comfyui	Separate audio track into stems (vocals, bass, drums, other). Along with tools to recombine, tempo match, slice/crop aud
basic_data_handling	242550	49	2026-09-18	https://github.com/StableLlama/ComfyUI-basic_data_handling	Basic Python functions for manipulating data that every programmer is used to, lightweight with no additional dependenci
tts_audio_suite	159543	1210	2026-08-21	https://github.com/diodiogod/TTS-Audio-Suite	TTS Audio Suite - Universal multi-engine TTS extension for ComfyUI with unified architecture supporting IndexTTS 2/2.5, 
comfyui-levelpixel	113995	31	2026-02-24	https://github.com/LevelPixel/ComfyUI-LevelPixel	Main nodes of the Level Pixel company (levelpixel, LP). In this package you will find easy-to-use atomic nodes that can 
ComfyUI-Pixaroma	78380	395	2026-09-07	https://github.com/pixaroma/ComfyUI-Pixaroma	Creative suite for ComfyUI: Image Composer, Paint Pixaroma, 3D Builder, AudioReact, Save Mp4, Load Video, Load Video Fra
comfyui-if_llm	50711	158	2025-03-17	https://github.com/if-ai/ComfyUI-IF_LLM	Run Local and API LLMs, Features Gemini2 image generation, DEEPSEEK R1, QwenVL2.5, QWQ32B, Ollama, LlamaCPP LMstudio, Ko
comfyui_yvann-nodes	49208	714	2026-01-18	https://github.com/yvann-ba/ComfyUI_Yvann-Nodes	Audio Reactive nodes for AI animations 🔊 Analyze audio, extract drums, bass, vocals. Compatible with IPAdapter, ControlN
comfyui-crystools-save	46832	53	2025-06-01	https://github.com/crystian/ComfyUI-Crystools-save	[Deprecated in favor of the new saving system] With this quality of life extension, you can save your workflow with a sp
comfyui-depthflow-nodes	46418	365	2025-11-30	https://github.com/akatz-ai/ComfyUI-Depthflow-Nodes	Implementation of DepthFlow nodes for ComfyUI, adds a 2.5D parallax effect to images and videos. Compatible with Ryan's 
ace-step	42530	251	2025-05-28	https://github.com/billwuhao/ComfyUI_ACE-Step	ACE-Step: A Step Towards Music Generation Foundation Model
comfyui-agent-panel	34196	117	2026-09-07	https://github.com/artokun/comfyui-mcp-panel	Autonomous AI agent in the ComfyUI sidebar - local-first, bring any LLM. Run it on your Claude or ChatGPT subscription (
Listhelper	32511	76	2026-02-08	https://github.com/dseditor/ComfyUI-ListHelper	The ListHelper collection is a comprehensive set of custom nodes for ComfyUI that provides powerful list manipulation ca
promptmanager	28703	170	2026-04-10	https://github.com/ComfyAssets/ComfyUI_PromptManager	A powerful ComfyUI custom node that extends the standard text encoder with persistent prompt storage, advanced search ca
chatterbox_srt_voice	26388	83	2025-08-29	https://github.com/diodiogod/ComfyUI_ChatterBox_SRT_Voice	⚠️ ARCHIVED PROJECT: This project has evolved into TTS Audio Suite (https://github.com/diodiogod/TTS-Audio-Suite). This 
comfyui-simple-prompt-batcher	26206	52	2026-02-10	https://github.com/ai-joe-git/ComfyUI-Simple-Prompt-Batcher	A simple and efficient ComfyUI custom node that allows you to batch process multiple prompts in a single queue. Perfect 
prompt-manager	23608	153	2026-08-23	https://github.com/FranckyB/ComfyUI-Prompt-Manager	A comprehensive prompt management system for ComfyUI that saves complete workflow recipes including prompts, LoRAs, and 
Comfyui-Spark-TTS	21377	125	2025-04-15	https://github.com/1038lab/ComfyUI-SparkTTS	ComfyUI-SparkTTS is a custom ComfyUI node implementation of SparkTTS, an advanced text-to-speech system that harnesses t
ltx2_sm	21081	31	2026-03-17	https://github.com/smthemex/ComfyUI_LTX2_SM	LTX-2 is the first DiT-based audio-video foundation model that contains all core capabilities of modern video generation
comfy-rvc	18448	39	2024-07-22	https://github.com/SayanoAI/Comfy-RVC	
comfyui-my-nodes	17302	11	2025-05-27	https://github.com/Tagbliton/ComfyUI-My-Nodes	一个支持在ComfyUI中使用阿里百炼模型库（包括Qwen、Omni、Audio、VL、ImageEdit、TTS、Flux等）进行各种提示词反推或提示词创意、翻译、润色及额外一些小工具的插件
